name,school_code,points,is_cc,html_link
Cobar Public School,1578,6,False,https://www.teach.nsw.edu.au/find-teaching-jobs/choose-rural/western-nsw/western-nsw-cobar-area
Coleambally Central School,4348,4,False,https://www.teach.nsw.edu.au/find-teaching-jobs/choose-rural/inland-southern-nsw/inland-southern-nsw-murrumbidgee-area
Collarenebri Central School,1589,8,True,https://www.teach.nsw.edu.au/find-teaching-jobs/choose-rural/inland-northern-nsw/inland-northern-nsw-Lightning-Ridge-Walgett-area
Conargo Public School,1606,4,False,https://www.teach.nsw.edu.au/find-teaching-jobs/choose-rural/inland-southern-nsw/inland-southern-nsw-edward-river-area
Condobolin High School,8346,6,False,https://www.teach.nsw.edu.au/find-teaching-jobs/choose-rural/inland-southern-nsw/inland-southern-nsw-condobolin-area
Condobolin Public School,1609,6,False,https://www.teach.nsw.edu.au/find-teaching-jobs/choose-rural/inland-southern-nsw/inland-southern-nsw-condobolin-area
Coonabarabran High School,8347,4,False,https://education.nsw.gov.au/teach-nsw/find-teaching-jobs/choose-rural/inland-northern-nsw/inland-northern-nsw-warrumbungles-area
Coonabarabran Public School,1630,4,False,https://education.nsw.gov.au/teach-nsw/find-teaching-jobs/choose-rural/inland-northern-nsw/inland-northern-nsw-warrumbungles-area
Coomealla High School,8494,6,True,https://www.teach.nsw.edu.au/find-teaching-jobs/choose-rural/western-nsw/western-nsw-sunraysia-area
Coonamble High School,8451,6,True,https://www.teach.nsw.edu.au/find-teaching-jobs/choose-rural/inland-northern-nsw/inland-northern-nsw-coonamble-area
Coonamble Public School,1631,6,True,https://www.teach.nsw.edu.au/find-teaching-jobs/choose-rural/inland-northern-nsw/inland-northern-nsw-coonamble-area
Croppa Creek Public School,3717,6,False,https://www.teach.nsw.edu.au/find-teaching-jobs/choose-rural/inland-northern-nsw/inland-northern-nsw-moree-area
Dareton Public School,1732,6,True,https://www.teach.nsw.edu.au/find-teaching-jobs/choose-rural/western-nsw/western-nsw-sunraysia-area
Darlington Point Public School,1736,6,False,https://www.teach.nsw.edu.au/find-teaching-jobs/choose-rural/inland-southern-nsw/inland-southern-nsw-murrumbidgee-area
Delegate Public School,1745,4,False,https://www.teach.nsw.edu.au/find-teaching-jobs/choose-rural/inland-southern-nsw/inland-southern-nsw-snowy-mountains-area
Deniliquin High School,8218,4,False,https://www.teach.nsw.edu.au/find-teaching-jobs/choose-rural/inland-southern-nsw/inland-southern-nsw-edward-river-area
Deniliquin North Public School,4281,4,False,https://www.teach.nsw.edu.au/find-teaching-jobs/choose-rural/inland-southern-nsw/inland-southern-nsw-edward-river-area
Deniliquin South Public School,4112,4,False,https://www.teach.nsw.edu.au/find-teaching-jobs/choose-rural/inland-southern-nsw/inland-southern-nsw-edward-river-area
Dunedoo Central School,1789,4,False,https://education.nsw.gov.au/teach-nsw/find-teaching-jobs/choose-rural/inland-northern-nsw/inland-northern-nsw-warrumbungles-area
Edward Public School,4418,4,False,https://www.teach.nsw.edu.au/find-teaching-jobs/choose-rural/inland-southern-nsw/inland-southern-nsw-edward-river-area
Ellerston Public School,1830,4,False,https://education.nsw.gov.au/teach-nsw/find-teaching-jobs/choose-regional/muswellbrook-area
Emmaville Central School,1838,6,False,https://www.teach.nsw.edu.au/find-teaching-jobs/choose-rural/inland-northern-nsw/inland-northern-nsw-glenn-innes-area
Enngonia Public School,3626,8,False,https://www.teach.nsw.edu.au/find-teaching-jobs/choose-rural/inland-northern-nsw/inland-northern-nsw-western-plains-area
Euabalong West Public School,1867,6,False,https://www.teach.nsw.edu.au/find-teaching-jobs/choose-rural/inland-southern-nsw/inland-southern-nsw-condobolin-area
Euston Public School,1885,6,False,https://www.teach.nsw.edu.au/find-teaching-jobs/choose-rural/inland-southern-nsw/inland-southern-nsw-balranald
Fairfax Public School,1894,6,False,https://www.teach.nsw.edu.au/find-teaching-jobs/choose-rural/inland-northern-nsw/inland-northern-nsw-narrabri-area
Finley High School,8360,4,False,https://www.teach.nsw.edu.au/find-teaching-jobs/choose-rural/inland-southern-nsw/inland-southern-nsw-edward-river-area
Finley Public School,3945,4,False,https://www.teach.nsw.edu.au/find-teaching-jobs/choose-rural/inland-southern-nsw/inland-southern-nsw-edward-river-area
Garah Public School,1956,6,False,https://www.teach.nsw.edu.au/find-teaching-jobs/choose-rural/inland-northern-nsw/inland-northern-nsw-moree-area
Girilambone Public School,1986,6,False,https://www.teach.nsw.edu.au/find-teaching-jobs/choose-rural/inland-northern-nsw/inland-northern-nsw-western-plains-area
Gol Gol Public School,2027,6,False,https://www.teach.nsw.edu.au/find-teaching-jobs/choose-rural/western-nsw/western-nsw-sunraysia-area
Goodooga Central School,2033,8,False,https://www.teach.nsw.edu.au/find-teaching-jobs/choose-rural/inland-northern-nsw/inland-northern-nsw-brewarrina
Goolgowi Public School,2035,6,False,https://www.teach.nsw.edu.au/find-teaching-jobs/choose-rural/inland-southern-nsw/inland-southern-nsw-hillston-area
Gralee School,5730,4,False,https://www.teach.nsw.edu.au/find-teaching-jobs/choose-rural/inland-southern-nsw/inland-southern-nsw-narrandera-area
Gravesend Public School,2068,6,False,https://www.teach.nsw.edu.au/find-teaching-jobs/choose-rural/inland-northern-nsw/inland-northern-nsw-moree-area
Griffith East Public School,4268,4,False,https://education.nsw.gov.au/teach-nsw/find-teaching-jobs/choose-rural/inland-southern-nsw/inland-southern-nsw---griffith-area
Griffith High School,8118,4,False,https://education.nsw.gov.au/teach-nsw/find-teaching-jobs/choose-rural/inland-southern-nsw/inland-southern-nsw---griffith-area
Griffith North Public School,4027,4,False,https://education.nsw.gov.au/teach-nsw/find-teaching-jobs/choose-rural/inland-southern-nsw/inland-southern-nsw---griffith-area
Griffith Public School,2087,4,False,https://education.nsw.gov.au/teach-nsw/find-teaching-jobs/choose-rural/inland-southern-nsw/inland-southern-nsw---griffith-area
Gulargambone Central School,2094,6,False,https://www.teach.nsw.edu.au/find-teaching-jobs/choose-rural/inland-northern-nsw/inland-northern-nsw-coonamble-area
Gwabegar Public School,2115,8,False,https://www.teach.nsw.edu.au/find-teaching-jobs/choose-rural/inland-northern-nsw/inland-northern-nsw-narrabri-area
Hanwood Public School,2132,4,False,https://education.nsw.gov.au/teach-nsw/find-teaching-jobs/choose-rural/inland-southern-nsw/inland-southern-nsw---griffith-area
Hay Public School,2145,6,False,https://www.teach.nsw.edu.au/find-teaching-jobs/choose-rural/inland-southern-nsw/inland-southern-nsw-hay-area
Hay War Memorial High School,8119,6,False,https://www.teach.nsw.edu.au/find-teaching-jobs/choose-rural/inland-southern-nsw/inland-southern-nsw-hay-area
Hermidale Public School,2155,6,False,https://www.teach.nsw.edu.au/find-teaching-jobs/choose-rural/inland-northern-nsw/inland-northern-nsw-western-plains-area
Hillston Central School,2165,6,False,https://www.teach.nsw.edu.au/find-teaching-jobs/choose-rural/inland-southern-nsw/inland-southern-nsw-hillston-area
Ivanhoe Central School,2213,8,False,https://www.teach.nsw.edu.au/find-teaching-jobs/choose-rural/western-nsw/western-nsw-central-darling-area
Jerilderie Public School,2226,4,False,https://www.teach.nsw.edu.au/find-teaching-jobs/choose-rural/inland-southern-nsw/inland-southern-nsw-murrumbidgee-area
Kalinda School,5699,4,False,https://education.nsw.gov.au/teach-nsw/find-teaching-jobs/choose-rural/inland-southern-nsw/inland-southern-nsw---griffith-area
Khancoban Public School,4270,6,False,https://www.teach.nsw.edu.au/find-teaching-jobs/choose-rural/inland-southern-nsw/inland-southern-nsw-snowy-valleys-area
Lake Cargelligo Central School,2359,6,False,https://www.teach.nsw.edu.au/find-teaching-jobs/choose-rural/inland-southern-nsw/inland-southern-nsw-condobolin-area
Lake Wyangan Public School,2363,4,False,https://education.nsw.gov.au/teach-nsw/find-teaching-jobs/choose-rural/inland-southern-nsw/inland-southern-nsw---griffith-area
Leeton High School,8156,4,False,https://education.nsw.gov.au/teach-nsw/find-teaching-jobs/choose-rural/inland-southern-nsw/inland-southern-nsw-leeton-area
Leeton Public School,2386,4,False,https://education.nsw.gov.au/teach-nsw/find-teaching-jobs/choose-rural/inland-southern-nsw/inland-southern-nsw-leeton-area
Lightning Ridge Central School,2395,8,False,https://www.teach.nsw.edu.au/find-teaching-jobs/choose-rural/inland-northern-nsw/inland-northern-nsw-Lightning-Ridge-Walgett-area
Louth Public School,3594,8,False,https://www.teach.nsw.edu.au/find-teaching-jobs/choose-rural/inland-northern-nsw/inland-northern-nsw-western-plains-area
Mallawa Public School,4262,8,False,https://www.teach.nsw.edu.au/find-teaching-jobs/choose-rural/inland-northern-nsw/inland-northern-nsw-moree-area
Marra Creek Public School,4454,8,False,https://www.teach.nsw.edu.au/find-teaching-jobs/choose-rural/inland-northern-nsw/inland-northern-nsw-western-plains-area
Mathoura Public School,2500,4,False,https://www.teach.nsw.edu.au/find-teaching-jobs/choose-rural/inland-southern-nsw/inland-southern-nsw-edward-river-area
Mayrung Public School,2508,4,False,https://www.teach.nsw.edu.au/find-teaching-jobs/choose-rural/inland-southern-nsw/inland-southern-nsw-edward-river-area
Mendooran Central School,2522,4,False,https://www.teach.nsw.edu.au/find-teaching-jobs/choose-rural/inland-northern-nsw/inland-northern-nsw-western-plains-area
Menindee Central School,2523,8,True,https://www.teach.nsw.edu.au/find-teaching-jobs/choose-rural/western-nsw/western-nsw-central-darling-area
Merriwa Central School,2528,4,False,https://education.nsw.gov.au/teach-nsw/find-teaching-jobs/choose-regional/mudgee-area
Moree East Public School,4118,4,True,https://www.teach.nsw.edu.au/find-teaching-jobs/choose-rural/inland-northern-nsw/inland-northern-nsw-moree-area
Moree Public School,2618,4,False,https://www.teach.nsw.edu.au/find-teaching-jobs/choose-rural/inland-northern-nsw/inland-northern-nsw-moree-area
Moree Secondary College,8325,4,True,https://www.teach.nsw.edu.au/find-teaching-jobs/choose-rural/inland-northern-nsw/inland-northern-nsw-moree-area
